	polarity	text	category	aspect term
49	 positive positive	I bought it for really cheap also and it's AMAZING.	 price laptop	null
50	 positive	Recommended to people as their first laptop.	 laptop	null
51	 positive	Plain and simple, it(laptop) runs great and loads fast.	 laptop	;runs;loads
52	 positive positive positive	Easy to carry, can be taken anywhere, can be hooked up to printers,headsets.	 weight laptop laptop	;carry
53	 positive positive	I'm already hooked on the sleek look and dependability that this laptop has shown.	 laptop laptop	;look;dependability
54	 neutral	Being a PC user my whole life, it's taking a bit of time to adapt to the OS of a Mac but I'm finding my way around.	 os	;os
55	 positive positive	The unibody design is edgy and durable.	 laptop laptop	;unibody design
56	 positive	The LED backlit display makes my pictures pop so much more.	 display	;led backlit display
57	 positive positive	I'm learning the finger options for the mousepad that allow for quicker browsing of web pages.	 mouse laptop	;mousepad;browsing;web pages
58	 positive	A key contributor that led me to Mac is the art aspect.	 laptop	;art aspect
59	 positive	They have developed excellent proprietary software for editing video and pictures and I'm looking forward to utilizing these tools on the regular.	 software	;software;editing;tools
60	 positive positive	I'm excited to learn more about what this powerful machine has to offer and encourage others to do the same.	 laptop laptop	null
61	 negative positive	It's more expensive but well worth it in the long run.	 price laptop	null
62	 positive positive positive	Great product, very easy to use and great graphics.	 laptop laptop graphics	;product;use;graphics
63	 negative	One drawback, I wish the keys were backlit.	 keyboard	;keys
64	 positive neutral	I'm glad I bought this laptop, it was worth the few ($100) extra dollars.	 laptop price	null
65	 positive positive	It had most of the features and all of the power that I wanted to replace my desktop machine.	 laptop laptop	;features;power
66	 neutral positive	I wasn't really as concerned about portability (it's a very large laptop) but it's not hard to move around or take on a trip which was a pleasant surprise.	 laptop weight	;portability
67	 positive	I'm very happy with this machine!	 laptop	null
68	 positive positive positive	I love the size, keyboard, the functions.	 laptop keyboard laptop	;size;keyboard;functions
69	 positive	I don't really have a complaint.	 laptop	null
70	 positive positive positive	It is easy to use, good quality and good price.	 laptop laptop price	;use;quality;price
71	 positive	Perfect trifecta!	 laptop	null
72	 positive	I would recommend this product.	 laptop	null
73	 negative negative	The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.	 software laptop	;software
74	 neutral	This is my first Dell I heard their customer service was lacking and that they were working on improving it!	 service	;customer service
75	 negative	The DVD burner broke after burning 3 DVD'd during that time!	 hardware	;dvd burner
76	 negative	They sent me a replacement part and without informing me are requiring that I return it within 15 days or contact them and let them know the broken part will be returned later.	 service	null
77	 negative	If this is an improvement in Customer Service then I would hate too see what it was before!	 service	;customer service
78	 negative	I spoke to 4 different people and was told they needed to transfer me to a 5th person!	 service	null
79	 negative	Needless to say I told them No and have a nice day and hung up!	 service	null
80	 negative negative	I can guarantee this will be the last Dell I will ever purchase!	 laptop laptop	null
81	 negative negative	Breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late!	 laptop service	null
82	 negative	I do not recommend this company or their products!!!!	 laptop	null
83	 positive	So far, a great product.	 laptop	null
84	 negative	High price tag, however.	 price	;price tag
85	 neutral	Still trying to learn how to use it.	 laptop	;use
86	 negative	it is the worst computer dell ever made.	 laptop	null
87	 negative negative	it is hard to fix and makes it a hassle to own one.	 laptop laptop	null
88	 negative	breaks easily.	 laptop	null
89	 positive	only good thing is the graphics quality.	 graphics	;graphics quality
90	 positive positive	There are so many wonderful features and benefits to the new MacBook!	 laptop laptop	;features
91	 positive	No Viruses!	 laptop	;viruses
92	 positive positive	This laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials.	 laptop laptop	;online tutorials
93	 positive	I am loyal to Apple.	 laptop	null
94	 positive	I am very Happy!	 laptop	null
95	 negative	This just keeps having it's hard drive replaced!	 harddisk	;hard drive
96	 negative	Acer won't replace the laptop.	 service	null
97	 negative	the manufacturer's warranty only covers replacement/repair of parts.	 service	;warranty
98	 negative	This thing is a lemon.	 laptop	null
99	 positive	This MacBook is an outstanding product with great value.	 laptop	;value
100	 positive positive	Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.	 laptop service	;use;top service;genius bar
101	 positive positive	Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed.	 battery laptop	;battery life;speed
102	 neutral	It does run a little warm but that is a negligible concern.	 laptop	null
103	 negative negative	I have had nothing but problems since the day I took it out of the box!	 laptop laptop	null
104	 negative	My first problem was with the pre-loaded Norton Firewall/Security program.	 software	;norton firewall security program
105	 negative	It would not let me connect to my Wifi system where I lived.	 laptop	;wifi system
106	 negative	It took Toshiba tech support 4 calls and 4 different techs to correct the problem.	 service	;toshiba tech support
107	 negative	"Then just the other day, my left ""mouse"" button snapped!"	 mouse	;left mouse button
108	 negative	Being only 2 months old, I am not a happy camper!	 laptop	null
109	 negative	Buyer Beware.	 laptop	null
110	 negative	this one, in my opinion, might be a lemon!	 laptop	null
111	 negative negative	It rarely works and when it does it's incredibly slow.	 laptop laptop	null
112	 negative	I have had to take it to the geek squad guys to get it fixed because it has had viruses 3 times and i have not even had it for more then 4 months!	 laptop	null
113	 negative	*IF YOU ARE LOOKING FOR A GOOD LAPTOP, THIS IS NOT IT!	 laptop	null
114	 positive positive	Like the price and operation.	 price laptop	;price;operation
115	 negative negative negative	Some features arent friendly ( volume wheel, sound quality, etc.	 laptop laptop laptop	;features;volume wheel;sound quality
116	 positive neutral	But, for the cost this is a winner.	 laptop price	;cost
117	 positive	I absolutely love my mac!	 laptop	null
118	 positive	I can't imagine my life without it anymore!	 laptop	;life
119	 positive negative	I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.	 laptop hardware	;usb port wires
120	 negative	Apparently they are defective since they are not securely attached.	 hardware	null
121	 negative	I can barely use any usb devices because they will not stay connected properly.	 laptop	;usb
122	 negative	I called Toshiba and they want me to be without my laptop for about two weeks while they look at the problem.	 service	;look
123	 negative	I think I might rather suffer for something that is simple to fix in my opinion.	 service	null
124	 negative	I bought this laptop Was the worst Laptop I've ever bought.	 laptop	null
125	 negative negative	I spent alot of money on this product and its been a nightmare.	 price laptop	null
126	 negative	And having to deal with the company has been a even worse nightmare.	 service	null
127	 negative	They sent it back with a huge crack in it and it still didn't work.	 service	;work
128	 negative	And that was the fourth time ive sent it to them to get fixed.	 service	null
129	 negative	Its been a year and am still waiting to see what there going to do about my laptop.	 service	null
130	 negative	So if anyones looking to buy a computer or laptop you should stay far far away from any that have the name TOSHIBA on it...	 laptop	null
131	 positive	I saved for this laptop for 3 months and I can tell you personally it was worth the wait.	 laptop	null
132	 positive positive	The display on this computer is the best I've seen in a very long time, the battery life is very long and very convienent.	 display battery	;display;battery life
133	 negative positive	A little pricey but it is well, well worth it.	 price laptop	null
134	 positive	It is amazing.	 laptop	null
135	 negative	In the first moth of owning this computer its hardrive failed which had to be replaced.	 harddisk	null
136	 negative negative	After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.	 battery battery	;hard drive;battery
137	 negative negative negative	Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.	 hardware hardware hardware	;charger;hardware
138	 negative negative	A tip for people looking into this computer: DO NOT BUY IT save up a bit more money and buy a computer that will last.	 laptop laptop	null
139	 positive	Has a 5-6 hour battery life.	 battery	;battery life
140	 positive positive	It is easy to use and lightweight.	 laptop laptop	;use
141	 positive positive	Was very much worth the price i paid.	 laptop price	;price
142	 negative	This netbook went bad on me after 3 days.	 laptop	null
143	 negative	There is a blank lighted screen when I start and that is all.	 display	null
144	 negative negative	Three weeks after I bought the netbook, the screen quit working.	 display display	;screen
145	 negative	I baby my electronics so I know for a fact it was defective and not anything that I did to it.	 display	null
146	 negative negative positive	Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.	 laptop laptop battery	;quality;performance;battery life
147	 positive positive positive	Took the netbook on a vacation trip and I was able to do whatever I wanted to do without lugging a much heavier laptop.	 weight laptop laptop	null
148	 negative negative	The So called laptop Runs to Slow and I hate it!	 laptop laptop	;runs
149	 negative	Do not  buy it!	 laptop	null
150	 negative	It is the worst laptop ever	 laptop	null
151	 positive positive	The image is great, and the soud is excelent.	 display laptop	;image;soud
152	 positive	i love ths notebook.	 laptop	null
153	 positive	I love the glass touchpad.	 mouse	;glass touchpad
154	 positive	Easy learning curve.	 laptop	null
155	 positive	Also the display is exceptional!	 display	;display
156	 positive	I have loved this since i took it out of the box.	 laptop	null
157	 positive	The battery is really long.	 battery	;battery
158	 positive negative	the features are great, the only thing it needs is better speakers.	 laptop laptop	;features;speakers
159	 positive	Small and light weight.	 laptop	;light weight
160	 negative negative	Speakers too small to be of any real use.	 laptop laptop	;speakers
161	 positive positive	Keyboard good sized and wasy to use.	 keyboard keyboard	;keyboard;sized
162	 positive	I like it!	 laptop	null
163	 positive positive positive	Meets my needs perfectly and is light enough for this senior to carry without affecting my arthritis.	 laptop laptop weight	null
164	 negative	Needless to say, not to happy with the product.	 laptop	;product
165	 positive	This is a great machine!	 laptop	null
166	 positive positive	The design is awesome, quality is unprecedented.	 laptop laptop	;design;quality
167	 positive positive positive positive	Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.	 laptop laptop price laptop	;look;price;performance
168	 positive	It is by far one of the greatest investments I have ever made.	 laptop	null
169	 positive positive	Am very glad I bought it, great netbook, low price.	 laptop price	;price
170	 positive	Very good quality and well made.	 laptop	;quality
171	 positive positive	Great pick for portability and affordability.	 weight price	;portability;affordability
172	 positive	The black model also has a very nice seamless appearance - one of the better looking notebooks I've seen.	 laptop	;appearance
173	 negative positive	The only problem is a lack of screen resolutions!	 display laptop	;screen resolutions
174	 positive positive	If you need an affordable, entry-level laptop, this will fit the bill.	 price laptop	null
175	 negative negative	I dislike the weight and size, cubersome.	 weight laptop	;weight;size
176	 negative negative	I dislike the quality and the placement of the speakers.	 laptop laptop	;quality;placement;speakers
177	 neutral	Overall, it's ok.	 laptop	null
178	 negative	"Laptop is advertised as a 15"" but the casing looks like that of a 17""."	 laptop	;casing
179	 negative negative	This laptop is very large and barely fits in any carrying cases.	 laptop weight	null
180	 positive neutral	Peformance is good for the price.	 laptop price	;peformance;price
181	 negative positive	If you're not wanting to be mobile, this is a good laptop to sit on a desk.	 weight laptop	null
182	 negative	Had to have this computer repaired twice in the first 5 months after purchasing it.	 laptop	null
183	 negative	Not good for a person who gets online daily.	 laptop	null
184	 neutral	May be better for the occasional web surfer.	 laptop	;web
185	 positive	I just got this laptop for college, and so far I am very happy with it.	 laptop	null
186	 positive	It is so much easier to use	 laptop	;use
187	 positive positive positive positive	Good keyboard, long battery life, largest hard drive and windows 7.	 keyboard battery harddisk os	;keyboard;battery life;hard drive;windows 7
188	 positive	And Toshiba is a quality supplier.	 laptop	;quality
189	 positive	I love this little one.	 laptop	null
190	 positive	The keyboard has a wonderful nature feel.	 keyboard	;keyboard
191	 positive	great battery life.	 battery	;battery life
192	 positive	Keyboard is reasonable size.	 keyboard	;keyboard;size
193	 negative positive	Small screen somewhat limiting but great for travel.	 display weight	;screen
194	 negative	Charger seems large for this class of computer.	 hardware	;charger
195	 positive neutral positive	Great Laptop for the price, works well with action pack games.	 laptop price laptop	;price;works;action pack games
196	 negative negative	The only thing that I have, is the key broad is a little dark to see the letters, would help if it was a little lighter then it is.	 keyboard keyboard	;key;letters
197	 positive	but other then that I would give this product a 4 in hafe stars.	 laptop	null
198	 positive	Good for every day computing and web browsing.	 laptop	;web browsing
199	 positive	A great computer for light home use and business use.	 laptop	;use
200	 neutral	Might not make the avid gamer happy but I don't really think that is what this computer is designed for.	 laptop	null
201	 positive positive positive	Crisp screen, great battery life, and plenty of storage.	 display battery harddisk	;screen;battery life;storage
202	 positive	Very happy.	 laptop	null
203	 positive positive	He loves it and it is easy to use and well the schools start teaching the kids early about computers so it was easy for him to get started.	 laptop laptop	;use
204	 positive	I would recomend this acer to parents and grandparents it can really help them in school.	 laptop	null
205	 negative	MY ONLY PROBLEM IS I CAN NOT REG. THE PRODUCT KEY.	 laptop	;product key
206	 negative	IT WANT TAKE IT, IT KEEP SAYING ERROR.	 laptop	null
207	 positive	HELP, HELP, OTHER THAN THAT GETS A GREAT LITTLE WONDER.	 laptop	null
208	 positive positive	It's fast and has excellent battery life.	 laptop battery	;battery life
209	 positive	The screen shows great colors.	 display	;screen;colors
210	 positive positive	I was surprised with the performance and quality of this HP Laptop.	 laptop laptop	;performance;quality
211	 positive	the speed is fine.	 laptop	;speed
212	 positive positive	But with A WAY Bigger Screen, and IS able to connect to an HDMI.	 display laptop	;screen
213	 positive	Love it.	 laptop	null
214	 positive positive	I would recommend this computer to anyone searching for the perfect laptop, and the battery life is amazing.	 laptop battery	;battery life
215	 negative	I BOUGHT THIS LAP TOP AND THE CHARGE TIME DOSEN'T LAST AS LONG AS THEY SAY IT WILL MORE LIKE 2 HOURS	 battery	;charge time
216	 positive	This computer is the ideal college companion.	 laptop	null
217	 positive positive	It's software and speed enable it to do amazing things.	 laptop software	;software;speed
218	 negative	I am not happy at all with the product I purchased.	 laptop	null
219	 neutral negative	"A cheaper price should not equal a ""cheap"" product."	 price laptop	;price
220	 negative	It was over rated!	 laptop	null
221	 positive	The Toshiba laptop was a great purchase.	 laptop	;toshiba laptop
222	 positive positive	The price was very good, and the product is top quality.	 price laptop	;price;quality
223	 positive positive	The delivery was fast, and I would not hesitate to purchase this laptop again.	 laptop laptop	;delivery
224	 positive positive	It has easy to use features and all the speed and power I could ask for.	 laptop laptop	;use;features;speed;power
225	 positive positive	True quality at a great price!	 laptop price	;quality;price
226	 positive positive	I am enjoying it and the quality it provides is great!	 laptop laptop	;quality
227	 positive positive	Toshiba is a great brand, even though I haven't had it for a long time, I am very happy with it!	 laptop laptop	null
228	 positive	The screen graphics and clarity, and sharpness are great.	 display	;screen graphics;clarity;sharpness
229	 positive	I've already recommended this laptop to a friend who eye'd the computer when I took it out of my bag.	 laptop	null
230	 positive	I like the laptop overall.	 laptop	null
231	 negative	The only thing i can say is that the touch pad doesnt work like it should all the time.	 mouse	;touch pad
232	 negative negative	Sometimes you really have to tap the pad to get it to work	 mouse mouse	;pad
233	 positive neutral	This is a great little computer for the price.	 laptop price	;price
234	 positive positive	Simple to use, and great graphics.	 laptop graphics	;use;graphics
235	 positive	It has everything I would need for a home computer.	 laptop	null
236	 positive	I'm very impressed.	 laptop	null
237	 positive positive	It was secure and easy to navigate.	 laptop laptop	;navigate
238	 positive	It is everything that I would want in a computer.	 laptop	null
239	 positive positive	Besides the great look, it is a great machine.	 laptop laptop	;look
240	 positive	Once again apple stands alone at the top of the charts.	 laptop	null
241	 positive	I enjoy very much my new Toshiba, purchased specifially for attending online schooling.	 laptop	null
242	 positive	I have found it very easy to use, very imformative, wonder alerts and tutorials making it very easy for someone like me who is not exactly technologically advanced to learn to use the various features and programs.	 laptop	;use;features;programs
243	 positive	I have found also, it is very easy to be able to access wireless internet access; without having to have extra equipment and/or complicated routes to take to be able to do so.	 laptop	;access;internet access;routes
244	 positive positive positive	I also love the small, convenient size of my laptop, making it a perfect tool for my academic studies.	 laptop laptop laptop	;size
245	 positive	I am very pleased with my purchase!	 laptop	null
246	 positive	This laptop serves all my needs.	 laptop	null
247	 positive positive	Screen size is perfect for portable use in any environment.	 display weight	;screen size;use
248	 positive positive	Price and purpose is awesome!	 price laptop	;price
249	 positive	I have been very pleased with the performance of this laptop.	 laptop	;performance
250	 positive	The battery life seems to be very good, and have had no issues with it.	 battery	;battery life
251	 positive	Great product.	 laptop	null
252	 positive	The laptop was very easy to set up.	 laptop	;set up
253	 positive	Everything was so easy.	 laptop	null
254	 positive	They were able to set-up with labtops themselves within a few minutes.	 laptop	null
255	 positive positive	It works fine with our wireless and they've had not problems.	 laptop laptop	;works
256	 positive positive	It's a great product for a great price!	 laptop price	;price
257	 positive	Waited on getting this computer, but it has been a great change.	 laptop	null
258	 positive	Ease of use is just one of the benefits I love about my Mac.	 laptop	;use
259	 positive	The service I received from Toshiba went above and beyond the call of duty.	 service	;service
260	 positive positive positive	My friend reports the notebook is astonishing in performance, picture quality, and ease of use.	 laptop display laptop	;performance;picture quality;use
261	 positive positive	It is extremely portable and easily connects to WIFI at the library and elsewhere.	 weight laptop	;connects;wifi
262	 positive	Just what the doctor ordered.	 laptop	null
263	 positive positive	I cannot be happier with the service or product.	 service laptop	null
264	 negative	power supply went bad after 2 weeks --	 hardware	;power supply
265	 negative	after much effort and 10 days ASUS replaced it	 service	null
266	 negative	The WiFi is very weak.	 laptop	;wifi
267	 negative	Summary: Spend your money elsewhere	 laptop	null
268	 positive positive positive	This is a nicely sized laptop with lots of processing power and long battery life.	 laptop hardware battery	;sized;processing power;battery life
269	 positive	Love it so far.	 laptop	null
270	 positive	The Toshiba Net book operates very well.	 laptop	;toshiba net;operates
271	 negative	The only objection I have is that after you buy it the windows 7 system is a starter and charges for the upgrade.	 os	;windows 7 system
272	 positive positive positive positive	I bought this netbook for traveling, and it's great - light, functional, and meets my needs.	 laptop laptop weight laptop	;light
273	 negative positive	The touchpad is extremely sensitive, which is the only drawback.	 mouse laptop	;touchpad
274	 positive	Otherwise, I love it!	 laptop	null
275	 negative	I wasn't really sure I wanted to spend that kind of money!	 price	null
276	 positive positive	It Was a great deal after all.	 laptop price	null
277	 positive	I LOVE it!	 laptop	null
278	 positive	I should have bought one a long time ago.	 laptop	null
279	 neutral	Not enough time for me to give it 5 stars!	 laptop	null
280	 positive	I've had the MacBook Pro 15 for about three weeks, and it really is a great computer.	 laptop	null
281	 neutral	I have only had PCs with Windows before so this takes a little getting use to.	 os	;windows
282	 positive positive	The real stand out on this computer is the feel of the keyboard and it's speed.	 keyboard laptop	;keyboard;speed
283	 positive positive	It is fast booting up , shutting down, and connection with the internet.	 laptop laptop	;booting up;connection;internet
284	 negative	The one thing I wish it had was a detailed hardcopy manuel.	 laptop	null
285	 neutral	I think the manual is somewhere on the hard drive, but I rather have a hard copy.	 laptop	;manual;hard drive
286	 positive	If what you need is a machine to do some surfing, email checking, word processing, and watching a movie or two, this is the machine you want.	 laptop	;word processing
287	 positive positive	It's priced very reasonable and works very well right out of the box.	 price laptop	;priced;works
288	 positive positive positive	Nice and portable and definitely a decent enough system to keep you entertained while sitting in the airplane for a couple of hours, or at the hotel taking care of some last minute details and documents.	 laptop weight laptop	;system
289	 negative	the screen/video resolution won't increase to a higher resolution then 1024 x 60	 display	;screen video resolution;resolution
290	 neutral	That being said, it still runs video in full screen decently.	 display	;runs;screen
291	 neutral	The sound is a bit quiet if you're on a plane, this can easily be overcome with a decent pair of head phones.	 laptop	;sound
292	 positive	Bottom line, I doubt you'd be overly disappointed if you invest in this machine.	 laptop	;bottom line
293	 neutral positive	Yes, I thought the expese was a little much, but I now realize you get what you pay for.	 price laptop	null
294	 positive positive positive	I love my Apple, it is quick and easy to use.	 laptop laptop laptop	;use
295	 positive	I've had to call Apple support to set up my new printer and have had wonderful experiences with helpful, english speaking (from Vancouver) techs that walked me through the processes to help me.	 service	;apple support;processes
296	 positive positive	I can't say enough of how satisfied I am with their product and help aftermarket.	 laptop service	;product
297	 positive positive	Money and time well spent!	 laptop price	null
298	 positive	Highly recommended!	 laptop	null
299	 positive positive positive	"The 13"" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product."	 price laptop laptop	;shipping;price
300	 positive positive	The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.	 laptop laptop	;twin packing;functions
301	 negative	Speakers doesn't sound that great.	 laptop	;speakers
302	 positive	Love the speed, especially!	 laptop	;speed
303	 positive	So glad I decided to upgrade!	 laptop	null
304	 negative	I've owned this labtop for less then two months, already the mouse button has broke.	 mouse	;mouse button
305	 negative	Still under warrenty so called Toshiba, no help at all.	 service	;warrenty
306	 negative	I'm stuck w/ a broken computer.	 laptop	null
307	 negative negative	Will not buy another Toshiba, this is my second, not happy w/ either.	 laptop laptop	null
308	 positive positive positive	I love its solid build, light wt and excellent battery life (for now).	 laptop laptop battery	;build;battery life
309	 positive positive	Excellent LED monitor and well equipped.	 display laptop	;led monitor;equipped
310	 positive	I love the Apple products.	 laptop	;apple products
311	 positive	The Toshiba Mini Notebook, Model NB 305-N410BL, is a great little computer.	 laptop	null
312	 positive positive positive positive	It is easy to use, its keyboard easily accommodates large hands, and its weight is fantasic.	 keyboard keyboard laptop laptop	;use;keyboard;weight
313	 positive	Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap;	 laptop	;windows 7 starter;windows 7 home premium;windows 7 professional
314	 positive	both upgrades were quickly accomplished after purchasing the necessary Product Key.	 laptop	;upgrades;product key
315	 positive	Other installed features, such as certain printer software, are also most attractive.	 laptop	;features;printer software
316	 negative negative	Ever since I bought this laptop, so far I've experience nothing but constant break downs of the laptop and bad customer services I received over the phone with toshiba customer services hotlines.	 laptop service	;customer services;toshiba customer services
317	 negative negative	I constantly had to send my laptop in for services every 3 months and it always seems to be the same problem that they said they had already fixed.	 laptop service	;services
318	 negative	Toshiba customer services will indirectly deal with your problems by constantly tranferring you from one country to another, and I am not kidding you, I called different hours of the day and you'll get someone else from another country trying to get you to tell them your life story all over again, since they make it sound like they don't have your history list of your calls right in front of them.	 service	;toshiba customer services;sound
319	 negative	It's a long and tirring process that after a while it seems like their game plan was to wear you out so you would want to give up on contacting them.	 service	;game plan
320	 negative	And at one point, they blame me for installing a bad memory stick when I upgrade my memory for the first time during my purchase of the laptop (I bought the memory stick they recomended).	 service	;memory stick;memory;memory stick
321	 negative negative	Long story short, since I experience so many problems with my laptop every since I bought it from day one, I didn't ask for a new laptop or a refund of what I pay for a crapy laptop, but just an extension of my laptop warranty for another year, they made a big deal of out that and after so many calls and complaints about their products and services, they finally gave in.	 laptop service	;extension;warranty;products
322	 negative negative	Was this product worth my time and money to ever want to purchase another products that is toshiba or relating to toshiba?	 laptop laptop	null
323	 negative	I'll rather be out of date then spend more money on toshiba.	 laptop	null
324	 negative	Remember to do your research first before consider buying a toshiba product.	 laptop	;toshiba product
325	 positive	All I can say is W-O-W.	 laptop	null
326	 positive	This laptop is insane!!!	 laptop	null
327	 positive positive	It's so nice to look at and the keys are easy to type with.	 laptop keyboard	;look;keys
328	 positive	I bought a protector for my key pad and it works great :)	 keyboard	;key pad;works
329	 positive positive	This is definitely a computer worth the money;	 laptop price	null
330	 neutral neutral	The mouse is a little bit different than what you're used to though- it has one big flat panel and one full bar (instead of two separate ones) to click with- but you get used to it quite quickly.	 mouse mouse	;mouse;panel
331	 positive	AND the best part is that it even comes with a free printer (when they have a certain promotion/offer going, of course)!	 laptop	null
332	 positive positive	Overall, this laptop is definitely a keeper with its simple yet stylish design and its array of fantastic colors to choose from.	 laptop laptop	;design;colors
333	 positive	The Apple team also assists you very nicely when choosing which computer is right for you :)	 service	;apple team
334	 positive positive	Obviously, this Macbook is P-E-R-F-E-C-T for me because it does exactly what I need in an easy-to-function way.	 laptop laptop	;function
335	 positive	DEFINITELY recommended!!!	 laptop	null
336	 positive neutral	Not a bad laptop, it's a bit slow, but gets the job done.	 laptop laptop	null
337	 negative negative	The lcd screen stopped working on mine after 10 months.	 display display	;lcd screen
338	 negative	I could not find a phone number anywhere to call an actual live person for tech support and had to result the their online chat.	 service	;tech support;online chat
339	 negative	upon giving them the serial number the first thing I was told, was that it was out of warranty and I could pay to have it repaired even though I had the receipt in front of me proving it still had 2 months left on the warranty.	 service	;warranty;warranty
340	 negative	even though I had the receipt in front of me proving it still had 2 months left on the warranty.	 service	;warranty
341	 negative	Dealing with the support drone on the other end of the chat was sheer torture.	 service	;support drone;chat
342	 negative	English must have been his third or fourth language.	 service	null
343	 negative	His language was so bad I swore I was taking the turing test, and it was failing.	 service	null
344	 negative	after trying to get some help he disconnected on me.	 service	null
345	 negative	After 4 days, being denied 6 times and told off once, I managed to get through and was able to send them a scanned copy of the receipt.	 service	null
346	 negative	Then they had me jump through many hoops and questions to see if they could find another way to invalidate me.	 service	;hoops
