aspect term	polarity	text	category
;macbook pro	 negative	I believe this MacBook Pro was a lemon right out the gate.	 laptop
;null	 negative	:(	 laptop
;computer	 positive	This computer is like...  I'm lost for words.	 laptop
;null	 positive	This is the best switch I have ever done.	 laptop
;memory	 positive	This has much more memory and ram memory.	 memory
;memory;ram memory	 positive positive	This has much more memory and ram memory.	 memory harddisk
;battery life	 positive	Even the battery life is like WOW!	 battery
;null	 positive	I love, LOVE, LOOOOVE!	 laptop
;computer	 positive	I can say that I am fully satisfied with the performance that the computer has supplied.	 laptop
;battery life	 positive	It contains a long battery life, incredible specs, and an overall enjoyable performance.	 battery
;battery life;specs	 positive positive	It contains a long battery life, incredible specs, and an overall enjoyable performance.	 battery laptop
;battery life;specs;null	 positive positive positive	It contains a long battery life, incredible specs, and an overall enjoyable performance.	 battery laptop laptop
;mac operating system	 positive	Upgrading from a toshiba laptop, I am fully impressed with all of the benefits that the mac operating system provides.	 os
;processor	 positive	The snappy processor allows for me to quickly upload photos and videos, as well as create movies for me and my colleagues to enjoy.	 processor
;processor;null	 positive positive	The snappy processor allows for me to quickly upload photos and videos, as well as create movies for me and my colleagues to enjoy.	 processor laptop
;null	 positive	In upgrading to this computer I can say I have found little to any flaws in the product, hence the 5 star review.	 laptop
;computer	 positive	Love this computer.	 laptop
;null	 positive	It has done everything and more that I expected.	 laptop
;null	 positive	I am sure it will be able to do all I need it to do in the future as well.	 laptop
;screen	 positive	The screen looks great in my opinion the sound is nice.	 display
;screen;sound	 positive positive	The screen looks great in my opinion the sound is nice.	 display multimedia
;null	 positive	So far I have no complaints and dont expect many complaints in the future.	 laptop
;null	 negative	This did give some set trouble and i had to call tech support.	 laptop
;null	 positive	They were great.	 warranty
;null	 positive	its been easy breezy since then.	 laptop
;null	 positive	how could you not love a Mac	 laptop
;null;mac	 positive positive	how could you not love a Mac	 laptop company
;computer	 positive	so far so good, i have not encountered any issues with this computer.	 laptop
;flip feature	 positive	love the flip feature and the touch screen feature.	 laptop
;flip feature;touch screen	 positive positive	love the flip feature and the touch screen feature.	 laptop display
;price	 neutral	for the price that i paid i feel that i got good value.	 price
;price;null	 neutral positive	for the price that i paid i feel that i got good value.	 price laptop
;laptop	 negative	this laptop is not the lightest you can purchase, so if that is important to you maybe you should shop some more.	 laptop
;mac	 positive	To a prospective buyer,  08/10/2012  Once you go Mac, you'll never go back.	 company
;mac;null	 positive positive	To a prospective buyer,  08/10/2012  Once you go Mac, you'll never go back.	 company laptop
;null	 positive	Was the best decision we ever made.	 laptop
;null	 positive	It runs just as fast as the day we got it with no problems!	 laptop
;null;null	 positive positive	It runs just as fast as the day we got it with no problems!	 laptop laptop
;null	 positive	We don't have to de-frag, delete cookies, run security programs, or any of the common PC problems that have to be delt with in order to keep you running and up to speed.	 laptop
;null;null	 positive positive	We don't have to de-frag, delete cookies, run security programs, or any of the common PC problems that have to be delt with in order to keep you running and up to speed.	 laptop laptop
;mac	 positive	You can't get a virus on Mac, so in the long run the cost of the Mac is saved by not buying security, and not having to replace your computer every year or two.	 laptop
;null	 positive	Never had any issues, no frustrations just great easy wireless, all in one fun!	 laptop
;null;wireless	 positive positive	Never had any issues, no frustrations just great easy wireless, all in one fun!	 laptop laptop
;null	 positive	It's great.	 laptop
;touch screen	 positive	because it is a touch screen you don't even need a mouse.	 display
;touch screen;null	 positive positive	because it is a touch screen you don't even need a mouse.	 display laptop
;null	 positive	You will probably never use it in tablet mode but it's nice to know you have that option.	 laptop
;null	 positive	If you draw on the other hand i'm sure you will love using this in tablet mode.	 misc
;flip	 positive	Lastly, because it can flip 360 you can comfortably lay down in bed and have the keyboard facing down as you watch a show closer without having to adjust your sitting position for the keyboard.	 laptop
;flip;null	 positive positive	Lastly, because it can flip 360 you can comfortably lay down in bed and have the keyboard facing down as you watch a show closer without having to adjust your sitting position for the keyboard.	 laptop laptop
;flip;null;keyboard	 positive positive positive	Lastly, because it can flip 360 you can comfortably lay down in bed and have the keyboard facing down as you watch a show closer without having to adjust your sitting position for the keyboard.	 laptop laptop keyboard
;computer	 positive	This computer is great.	 laptop
;ssd	 neutral	I have a 250 GB SSD and 10 GB of RAM in it, which I installed myself.	 harddisk
;ssd;ram	 neutral neutral	I have a 250 GB SSD and 10 GB of RAM in it, which I installed myself.	 harddisk memory
;null	 positive	It runs faster than it did when I got it.	 laptop
;yosemite	 positive	I enjoy the simplicity and user-friendly interface of Yosemite.	 os
;el capitan	 positive	I'm excited for El Capitan.	 os
;apps	 positive	The apps are very easy to use.	 software
;resolution	 positive	The resolution is excellent.	 display
;machine	 positive	I am very satisfied with EVERYTHING about this machine.	 laptop
;null	 positive	Like so many others who do this there is a learning curve and I'm excited to do it.	 laptop
;null;null	 positive neutral	Like so many others who do this there is a learning curve and I'm excited to do it.	 laptop laptop
;mbp	 positive	This MBP is clean, neat, and simple.	 laptop
;mbp;mbp	 positive positive	This MBP is clean, neat, and simple.	 laptop laptop
;null	 positive	I like that.	 laptop
;null	 positive	It takes less time to power up, and if you just close the case it go into sleep mode.	 laptop
;null	 positive	WHen you open it wakes up almost immediately.	 laptop
;null	 positive	Very nice.	 laptop
;null	 positive	I am pleased with my decision, however I have only had this for a few weeks.	 laptop
;null	 negative	There are a few things I am dissappointed with though.	 laptop
;usb ports	 negative	Only 2 USB ports.	 laptop
;hdmi port	 negative	No HDMI port.	 laptop
;headphones jack	 neutral	The headphones jack is a combo jack for the headphones and microphone.	 multimedia
;null	 neutral	Not a big deal for me, but if you Skype a lot or are gaming a regular headphone set with a separate jack for the headphone sound and microphone input will not work on a Mac.	 multimedia
;null;mac	 neutral negative	Not a big deal for me, but if you Skype a lot or are gaming a regular headphone set with a separate jack for the headphone sound and microphone input will not work on a Mac.	 multimedia laptop
;laptop	 positive	As a student majoring computer science, I really fell in love with this laptop.	 laptop
;null	 neutral	It's 15.6 inches, which for me is not too big nor too small.	 laptop
;cpu	 positive	It has the latest i7 CPU with a GTX 950M for GPU, which makes this laptop blazing fast (boots up in under 5 seconds, with the help of the SSD of course).	 processor
;cpu;gpu	 positive positive	It has the latest i7 CPU with a GTX 950M for GPU, which makes this laptop blazing fast (boots up in under 5 seconds, with the help of the SSD of course).	 processor graphics
;cpu;gpu;null	 positive positive positive	It has the latest i7 CPU with a GTX 950M for GPU, which makes this laptop blazing fast (boots up in under 5 seconds, with the help of the SSD of course).	 processor graphics laptop
;cpu;gpu;null;ssd	 positive positive positive positive	It has the latest i7 CPU with a GTX 950M for GPU, which makes this laptop blazing fast (boots up in under 5 seconds, with the help of the SSD of course).	 processor graphics laptop harddisk
;ssd	 positive	- It has 256GB SSD which is just enough for my OS, games, documents, and anything in between.	 harddisk
;hdd	 positive	It also has an extra bay for an extra HDD if you wish to add one.	 laptop
;touchscreen	 positive	- It's not touchscreen!	 display
;keyboard	 positive	- Its keyboard is nicely arranged, silent, and back-lit which is nice, but what I don't like about it is the material attracts oil from your fingers.	 keyboard
;keyboard;keyboard	 positive positive	- Its keyboard is nicely arranged, silent, and back-lit which is nice, but what I don't like about it is the material attracts oil from your fingers.	 keyboard keyboard
;keyboard;keyboard;keyboard	 positive positive negative	- Its keyboard is nicely arranged, silent, and back-lit which is nice, but what I don't like about it is the material attracts oil from your fingers.	 keyboard keyboard keyboard
;null	 negative	I have to clean it regularly for it to stay looking good.	 keyboard
;laptop	 positive	- This laptop is so silent, its fans only kick in when the laptop is under heavy load, thanks to the 5th generation Intel core which draws less power,  thus less heat.	 laptop
;laptop;fans	 positive positive	- This laptop is so silent, its fans only kick in when the laptop is under heavy load, thanks to the 5th generation Intel core which draws less power,  thus less heat.	 laptop misc
;laptop;fans;intel core	 positive positive positive	- This laptop is so silent, its fans only kick in when the laptop is under heavy load, thanks to the 5th generation Intel core which draws less power,  thus less heat.	 laptop misc processor
;null	 positive	- It can run games really well.	 misc
;null	 neutral	Well, not really well.	 misc
;null	 neutral	MOBAs like Dota 2 and SMITE can be run on max quality settings with 60 fps or more.	 display
;null	 neutral	Medium settings on titles like Tomb Raider for it to be acceptable (60 fps is the minimum acceptable fps #pcmasterrace).	 display
;null	 positive	- It's lightweight and easy to carry around.	 laptop
;null;null	 positive positive	- It's lightweight and easy to carry around.	 laptop weight
;screen	 positive	- The screen is a matte 1080p display, which is nice, but with poor viewing angle.	 display
;screen;null	 positive negative	- The screen is a matte 1080p display, which is nice, but with poor viewing angle.	 display display
;null	 negative	I find myself adjusting it regularly.	 display
;null	 positive	- It looks sleek and gorgeous.	 laptop
;null	 positive	Blends in with any accessory you use with it.	 laptop
;null	 positive	All in all I am very happy with this purchase.	 laptop
;price	 positive	And with this price, I don't think you can buy anything better.	 price
;price;null	 positive positive	And with this price, I don't think you can buy anything better.	 price laptop
;null	 positive	All I can say is I am impressed.	 laptop
;null	 positive	Very quick to get it up and running with a minimum setup time right after you open the box.	 laptop
;null;null	 positive positive	Very quick to get it up and running with a minimum setup time right after you open the box.	 laptop laptop
;null	 positive	It's worth it.	 laptop
;laptop	 positive	Pay me now, Pay me later.........I am happy with my choice going with this laptop.	 laptop
;null	 negative	I was disappointed.	 laptop
;computer	 negative	It seemed like a great computer and a great deal.	 laptop
;computer;null	 negative negative	It seemed like a great computer and a great deal.	 laptop price
;null	 negative	The first one arrived and it did not work.	 laptop
;null;null	 negative negative	The first one arrived and it did not work.	 laptop laptop
;space bar	 negative	The space bar sticks.	 keyboard
;null	 negative	I find it hard to navigate from screen to screen.	 laptop
;null	 negative	For a non-computer savvy person, it was very disappointing.	 laptop
;macbooks	 positive	I like the 13 inch macbooks.	 laptop
;size	 positive	Its size is ideal and the weight is acceptable.	 laptop
;size;weight	 positive positive	Its size is ideal and the weight is acceptable.	 laptop laptop
;mac os	 positive	The new Mac OS Mountain Lion has some nice features as wel as the trackpad.	 os
;mac os;trackpad	 positive positive	The new Mac OS Mountain Lion has some nice features as wel as the trackpad.	 os mouse
;optical drive	 neutral	I didn't think i would need an optical drive but since i have had it I used it several times.	 hardware
;optical drive;null	 neutral neutral	I didn't think i would need an optical drive but since i have had it I used it several times.	 hardware laptop
;null	 positive	The magnetic lid and charger is cool and battery indicator on the side is cool.	 laptop
;null;charger	 positive positive	The magnetic lid and charger is cool and battery indicator on the side is cool.	 laptop hardware
;mac	 positive	The mac is light and so compact I thought I would regret not buying a retina display, not in the least The mac pro works just fine.	 laptop
;mac;display	 positive positive	The mac is light and so compact I thought I would regret not buying a retina display, not in the least The mac pro works just fine.	 laptop display
;mac;display;mac pro	 positive positive positive	The mac is light and so compact I thought I would regret not buying a retina display, not in the least The mac pro works just fine.	 laptop display laptop
;os	 positive	The OS is easy, and offers all kinds of surprises.	 os
;os;null	 positive positive	The OS is easy, and offers all kinds of surprises.	 os os
;apple	 positive	I've been using Apple's since 1992 and this is the fastest and best one I've  had.	 laptop
;apple;apple	 positive positive	I've been using Apple's since 1992 and this is the fastest and best one I've  had.	 laptop laptop
;mac	 positive	This Mac allows all of that.	 laptop
;computer	 positive	This is very fast, high performance computer.	 laptop
;computer	 positive	This should be more than  enough computer for almost everyone.	 laptop
;null	 positive	I would not hesitate recommending  this to anyone.	 laptop
;null	 positive	It fast and easy to set up.	 laptop
;null;null	 positive positive	It fast and easy to set up.	 laptop laptop
;null	 positive	I had cloned my data from my old computer using  Carbon Copy Cloner (CCC) and simply moved everything to the new computer  and was off and running at speeds I had only dreamed up before.	 laptop
;null;computer	 positive positive	I had cloned my data from my old computer using  Carbon Copy Cloner (CCC) and simply moved everything to the new computer  and was off and running at speeds I had only dreamed up before.	 laptop laptop
;mac book pro	 positive	The Mac book pro is a computer for the disorganized, lazy, and eye candy person in all of us.	 misc
;MacBook pro	 positive	The MacBook pro already understands how to jump through hoops and acts more like a friendly guide.	 laptop
;null	 positive	If you want to use the Internet, then you can make your icons jump out from the bottom of the screen, like a magnifying glass is projecting onto the selected icon.	 software
;computer	 positive	This computer is amazing for the individual who does not want to do any extra work via their understanding of their laptop.	 laptop
;null	 positive	I would've given 5 stars, had it not been for the hours of updates I've had to do to this upon arrival.	 laptop
;null;null	 positive negative	I would've given 5 stars, had it not been for the hours of updates I've had to do to this upon arrival.	 laptop misc
;null	 positive	Other than that, I love it.	 laptop
;null	 positive	It's portable, reliable, and great for what I use it for.	 weight
;null;null	 positive positive	It's portable, reliable, and great for what I use it for.	 weight laptop
;null;null;null	 positive positive positive	It's portable, reliable, and great for what I use it for.	 weight laptop laptop
;laptop	 positive	Positives:  - No matter what position, this laptop will stay in it.	 laptop
;null	 positive	It's very sturdy.	 laptop
;boot-up	 positive	- Quick boot-up, and runs efficiently.	 laptop
;touchscreen	 positive	- Touchscreen is great.	 display
;null	 negative	Negatives:  - As aforementioned, my only con was the updates.	 misc
;mac	 positive	Everything you'd expect from a Mac.	 laptop
;null	 positive	It looks and feels solid, with a flawless finish.	 laptop
;null;null	 positive positive	It looks and feels solid, with a flawless finish.	 laptop laptop
;screen	 positive	The screen definition is superb and it fires up super quick and same to close down.	 display
;screen;null	 positive positive	The screen definition is superb and it fires up super quick and same to close down.	 display laptop
;null	 positive	Only had it a few weeks but doesn't leave my side.	 laptop
;machine	 positive	This machine is flawless, fast, and classy.	 laptop
;machine;machine	 positive positive	This machine is flawless, fast, and classy.	 laptop laptop
;machine;machine;machine	 positive positive positive	This machine is flawless, fast, and classy.	 laptop laptop laptop
;null	 positive	Out of all the laptops I have owned, this is by far the best!	 laptop
;keyboard	 positive	I'm not sure if it was covered in the description, but it does have a backlit keyboard and I'm getting about an 8 hour battery life on one charge (Except I don't use this for games or videos, which obviously would drain the battery faster).	 keyboard
;keyboard;battery life	 positive positive	I'm not sure if it was covered in the description, but it does have a backlit keyboard and I'm getting about an 8 hour battery life on one charge (Except I don't use this for games or videos, which obviously would drain the battery faster).	 keyboard battery
;null	 positive	It wakes in less than a second when I open the lid.	 laptop
;resolution	 positive	The screen has an extremely high resolution that I'm very pleased with.	 display
;macbooks	 negative	Even though MacBooks are expensive, you will see that they are well worth the money.	 price
;macbooks;macbooks	 negative positive	Even though MacBooks are expensive, you will see that they are well worth the money.	 price laptop
;computer	 positive	You will not regret buying this computer!	 laptop
;battery	 negative	My daughter's MacBook Air battery bulged deforming the keyboard several days ago.	 battery
;apple store	 negative	It took 3 days to make an appointment at the local Apple store.	 warranty
;null	 negative	I'm not sure what happened next but she came back home crying with a piece of paper in her hand $129 for a new battery, $39 to replace it and $139 for a new keyboard.	 warranty
;null;null	 negative negative	I'm not sure what happened next but she came back home crying with a piece of paper in her hand $129 for a new battery, $39 to replace it and $139 for a new keyboard.	 warranty warranty
;apple store	 negative	I could not believe they did not consider the battery as defective so I went to the Apple store myself and asked for a manager.	 warranty
;null	 negative	He explained to me the battery expansion is 'normal'.	 warranty
;null	 negative	Apple doesn't cover battery expansion under any circumstances not even under their Apple Care.	 warranty
;null	 negative	The battery is simply considered 'consumable' and NOT covered.	 warranty
;null	 negative	I asked the manager if he feels comfortable with me posting the picture of the MacBook Air on the internet with the description that Apple doesn't consider the product defective.	 warranty
;null	 negative	His reply astonished me, looking down at me behind his thick glasses he said: 'Make sure you have your facts straight before you smear!	 warranty
;swat team	 negative	He didn't specify who are 'they' but from the tone of his voice and his 6'5' posture it indicated something between the SWAT team and a bunch of LAWYERS.	 warranty
;apple	 negative	Here is my take on all of this, the business model Apple pushes right now is to get some cheap junk from China, hire a bunch of cheerleaders straight out of high school, call them geniuses, and bully everybody who complains about their product.	 company
;apple	 negative	Steve Jobs is dead, so is Apple.	 company
;apple	 negative	No more Apple devices in my household.	 company
;battery	 negative	Please Google 'MacBook battery bulge explode' before you buy your next Apple toy.	 battery
;battery;apple	 negative negative	Please Google 'MacBook battery bulge explode' before you buy your next Apple toy.	 battery company
;build quality	 positive	I've been spoiled by the build quality and stability of Macintosh and even this used computer is a gem.	 laptop
;build quality;computer	 positive positive	I've been spoiled by the build quality and stability of Macintosh and even this used computer is a gem.	 laptop laptop
;null	 positive	I can bat around all the things that everyone else says, but it's been what we've been using for decades and I have nothing bad to say.	 laptop
;null	 positive	It churns out HD content, runs without many flaws and I've yet to get a virus on a Mac since I started using the platform in the early 1990's.	 display
;null;null	 positive positive	It churns out HD content, runs without many flaws and I've yet to get a virus on a Mac since I started using the platform in the early 1990's.	 display laptop
;null;null;null	 positive positive positive	It churns out HD content, runs without many flaws and I've yet to get a virus on a Mac since I started using the platform in the early 1990's.	 display laptop laptop
;motherboard	 neutral	My 15&amp;#34; MacBook's motherboard fried but I think that was a sugar spill that I never bothered cleaning up.	 hardware
;macs	 positive	That's the only issue I've ever had since working on Macs in 1995.	 company
;macs;macs	 positive positive	That's the only issue I've ever had since working on Macs in 1995.	 company laptop
;null	 positive	That's a pretty impressive track record don't you think?	 company
;hp envy	 positive	However, the HP Envy has definitely met all of my expectations and more.	 laptop
;null	 positive	I have been thoroughly impressed with my purchase thus far and do not regret purchasing it at all.	 laptop
;price	 negative	While the price may seem high, it is worth every penny with its many perks.	 price
;price;null	 negative positive	While the price may seem high, it is worth every penny with its many perks.	 price laptop
;memory	 positive	The Pros:  A Ton of Storage Space- This laptop comes with 8GB of memory and a 1 TB (1000GB) hard drive.	 memory
;memory;hard drive	 positive positive	The Pros:  A Ton of Storage Space- This laptop comes with 8GB of memory and a 1 TB (1000GB) hard drive.	 memory harddisk
;space	 positive	That is plenty of space for your laptop, which really comes in handy for college students and computer gamers.	 harddisk
;laptop	 positive	2-in-1 Capability- The ease of switching this laptop into a tablet is a huge plus.	 laptop
;laptop;laptop	 positive positive	2-in-1 Capability- The ease of switching this laptop into a tablet is a huge plus.	 laptop laptop
;laptop	 positive	If you are looking to get a 2-in-1 laptop, this is the laptop you should consider.	 misc
;keyboard	 positive	I love the flexibility of being able to fold it over like a tent and watch movies, without having the keyboard in the way of things.	 laptop
;null	 positive	I find it much easier to type on and much more durable.	 keyboard
;null;null	 positive positive	I find it much easier to type on and much more durable.	 keyboard keyboard
;battery life	 positive	Battery Life- My battery life is really good with this laptop and I have had no problems with it thus far.	 battery
;battery life	 positive	I can usually go about 10 hours before I get down to 10% battery life.	 battery
;disc drive	 negative	The Cons:  No Disc Drive- Call me old fashioned, but I still enjoy listening to physical CDs and uploading them to iTunes.	 laptop
;disc drive	 negative	However, I can no longer do this because this laptop does not contain a disc drive.	 laptop
;null	 positive	Overall, I definitely would recommend this product to any college student that is in the market for a new laptop.	 laptop
;touchscreen	 positive	The touchscreen and 2-in-1 capability is a huge bonus and it is really easy to carry around to your classes.	 display
;touchscreen;2-in-1 capability	 positive positive	The touchscreen and 2-in-1 capability is a huge bonus and it is really easy to carry around to your classes.	 display laptop
;touchscreen;2-in-1 capability;null	 positive positive positive	The touchscreen and 2-in-1 capability is a huge bonus and it is really easy to carry around to your classes.	 display laptop weight
;null	 positive	It also is nice to be able to play Candy Crush or Angry Birds when in between classes straight from your laptop.	 misc
;null	 positive	It makes it much more exciting to play!	 misc
;macbook	 positive	I'm actually writing this review on my new MacBook and I love it!	 laptop
;computer	 positive	The computer it self is amazing.	 laptop
;null	 neutral	It is an older model, so know that upfront, but it is everything I was looking for.	 misc
;null;null	 neutral positive	It is an older model, so know that upfront, but it is everything I was looking for.	 misc laptop
;macbook	 positive	From the moment I received this MacBook it was like a dream come true.	 laptop
;ram	 neutral	I know once I upgrade the ram to 8GB it will pick up a lot.	 memory
;laptop	 positive	Also, if after reading some reviews and doing some research I found out that this laptop is easily upgradable and easy to work on which is another big plus.	 laptop
;laptop	 positive	So long story short, if you want an oldie but a goodie this is your laptop.	 laptop
;null	 neutral	I know people were complaining that it isn't the newest model, but it all depends on what you are looking for.	 misc
;null	 positive	I highly recommend!!	 laptop
;computer	 positive	This computer is a fantastic tool for word processing, searching the internet, and keeping track of everyday life.	 misc
;null	 positive	It's also incredibly light, has a battery that can last for days, and looks like a piece of art.	 laptop
;null;battery	 positive positive	It's also incredibly light, has a battery that can last for days, and looks like a piece of art.	 laptop battery
;null	 neutral	Though, that's pretty much what your paying for -- a well designed device.	 price
;null;device	 neutral positive	Though, that's pretty much what your paying for -- a well designed device.	 price laptop
;computer	 negative	When you look at the internal specs, the computer is only worth about $500.	 laptop
