	aspect term	text
103	;sales;service;dell support	BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple
104	;hard drive;motherboard	no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.
105	;speed;construction quality;longevity;cost	Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.
106	";keyboard;keys;configuration of ""extra key"""	"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc."
107	;touch pad	) I also tried the touch pad and compared it to other netbooks in the store.
108	;use;security;pricetag	It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.
109	;use;work	  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.
110	;preloaded software	lots of preloaded software.
111	;webcam	I wish it had a webcam though, then it would be perfect!
112	;vga port;screen	My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.
113	;battery life	Another thing I might add is the battery life is excellent.
114	;keys	One drawback, I wish the keys were backlit.
115	;software	Acer was no help and Garmin could not determine the problem(after spending about 2 hours with me), so I returned it and purchased a Toshiba R700 that seems even nicer and I was able to load all of my software with no problem.
116	;volume;mouse	I wish the volume could be louder and the mouse didnt break after only a month.
117	;touchpad	I play a lot of casual games online, and the touchpad is very responsive.
118	;boots up	Granted, it's still a very new laptop but in comparison to my previous laptops and desktops, my Mac boots up noticeably quicker.
119	;hard drive	It caught a virus that completely wiped out my hard drive in a matter of hours.
120	;look and feel standpoint	It is everything I'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy.
121	;safari;safari;mozzilla firfox	the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.
122	;bluetooth;fingerprint reader driver;software	The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.
123	;battery;speed;display	Great battery, speed, display.
124	;delivery	The delivery was fast, and I would not hesitate to purchase this laptop again.
125	;battery life;performance;memory	I've been impressed with the battery life and the performance for such a small amount of memory.
126	;applications;microsoft office	It's applications are terrific, including the replacements for Microsoft office.
127	;resolution;appearance;cooling system;graphics card	they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.
128	;built-in webcam;built-in mic;cam;mic	I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.
129	;windows vista	Is this partially due to the fact that it is running Windows Vista?
130	;board;connector;power supply;warrenty;power supply	  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.
131	;ethernet;works	My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!
132	;drag and drop feature	Mostly I love the drag and drop feature.
133	;webcam	oh yeah, and if the fancy webcam breaks guess who you have to send it to to get it fixed?
134	;sales tax	I ordered through MacMall, which saved me the sales tax I would have incurred buying locally.
135	;software packages;iwork;garageband;imovie	Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.
136	;screen;colors;resolution	The screen is very large and crystal clear with amazing colors and resolution.
137	;monitor	After a little more than a year of owning my MacBook Pro, the monitor has completely died.
138	;itunes	The brand of iTunes has just become ingrained in our lexicon now, but keep in mind that Apple started it all.
139	;size;external monitor	Size: I know 13 is small (especially for a desktop replacement) but with an external monitor, who cares.
140	;base installation;software	Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.
141	;manuf	  Taking it back to Best Buy I found that a tiny plastic piece inside had broken (manuf issue).
142	;camera	It has no camera but, I can always buy and install one easy.
143	;display	The display is incredibly bright, much brighter than my PowerBook and very crisp.
144	;amd turin processor;intel	The AMD Turin processor seems to always perform so much better than Intel.
145	;warranty	  After that the said it was under warranty.
146	;start menu;navigate	The start menu is not the easiest thing to navigate due to the stacking.
147	;bluray read/write drive	Only thing I would want to add to this is an internal bluray read/write drive.
148	;service tech	The service tech said he had tried to duplicate the damage and wasn't able to recreate it therefore it had to be their defect.
149	;tech store	The tech store I purchased this from sent it back,,,,,eventually I got a new or repaired machine approximately 3 weeks later.
150	;surface	Really like the textured surface which shows no fingerprints.
151	;screen;keyboard	The screen is bright and the keyboard is nice;
152	;ilife;snow leopard x	But the machine is awesome and iLife is great and I love Snow Leopard X.
153	;price tag	High price tag, however.
154	;mac os	I thought learning the Mac OS would be hard, but it is easily picked up if you are familiar with a PC.
155	;sound output quality	"I had static in the output, and I had to reduce the sound output quality to ""FM"" as opposed to the default ""CD."
156	;techie	I custom ordered the machine from HP and could NOT understand the techie due to his accent.
157	;use	It is easy to use and lightweight.
158	;toshiba online help	I went to Toshiba online help and found some suggestions to fix it.
159	;service life	They also have a longer service life than other computers (I have several friends who still use the older Apple PowerBooks).
160	;ports;processor	If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor.
161	;price;look	This laptop is a great price and has a sleek look.
162	;keyboard;keys	I especially like the keyboard which has chiclet type keys.
163	;screen	Small screen somewhat limiting but great for travel.
164	;quality	Runs Hot  I thought we were paying for quality in our decision to buy an Apple product.
165	;stock screen	For the not so good, I got the stock screen - which is VERY glossy.
166	;gray color	The gray color was a good choice.
167	;volume buttons	I would like to have volume buttons rather than the adjustment that is on the front.
168	;processor;computing	The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.
169	;protector;key pad	I bought a protector for my key pad and it works great :)
170	;magnetic plug-in power charging power cord	The magnetic plug-in power charging power cord is great (I even put it to the test by accident)- excellent innovation!
171	;xp;vista	It seems they could have updated XP and done without creating Vista.
172	;graphics;use	  It is easy to use, fast and has great graphics for the money.
173	;mac os;use	I like how the Mac OS is so simple and easy to use.
174	;support	While Apple's saving grace is the fact that they at least stand behind their products, and their support is great, it would be nice if their products were more reliable to justify the premium.
175	;geek squad	I was ready to take it back for a refund, but the Geek Squad camed through and pointed me in the right direction to get it fixed.
176	;graphics quality	only good thing is the graphics quality.
177	;appleworks;browser	The other lock-up problems are from a myriad of causes, the most common being a corrupted version of Appleworks which can render the browser useless.
178	;paint;keyboard	The paint wears off easily due to the keyboard being farther back than usual.
179	;service department	I had purchased it from a major electronics store and took it to their service department to find out what the problem was.
180	;warrenty;warrentys	The store honored their warrenty and made the comment that they don't even recommend the HP brand because of the problems with their warrentys.
181	;hard disk	I always use a backup hard disk to store important files at all times.
182	;cd drive;running	They sent out the box right away for me to send in my computer, they paid postage and whatnot, but when I got my computer back it still wasn't running right, and now my CD drive wasn't reading anything!
183	;screen size;web browsing	But the screen size is not that bad for email and web browsing.
184	;software;loads	Once I removed all the software the laptop loads in 15-20 seconds.
185	;trackpad;external mouse;trackpad	On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.
186	;games	This computer doesn't do that well with certain games it can't play some and it becomes too hot while playing games.
187	;features;human interface	"Obviously one of the most important features of any computer is the ""human interface."
188	;inbuilt applications;software	"Yeah, of course smarty pants ""fix it now"")Software - Compared to the early 2011 edition I did see inbuilt applications crashing and it prompted me to send the report to Apple (which I promptly did)."
189	;body	The body is a bit cheaply made so it will be interesting to see how long it holds up.
190	;i5	The i5 blows my desktop out of the water when it comes to rendering videos.
191	;antivirus software;firewall	With a mac you don't have to worry about antivirus software or firewall, it's so wonderful.
192	;price	Am very glad I bought it, great netbook, low price.
193	;apple team	The Apple team also assists you very nicely when choosing which computer is right for you :)
194	;vista;vista;operating system;vista	I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).
195	;video chat;quality	The video chat is the only thing that is iffy about it but im sure once they unpdate the next version on the macbook book the quality of it will be better.
196	;mouse	That whole experience was just ridiculous we sent it in and after they told us that we had to pay $175 to fix it we were like we will just by a portable mouse which would be way cheaper but they refused to send the laptop back until we paid the $175 and it was fixed.
197	;fan;cooling pad;feature	Fan vents to the side, so no cooling pad needed, great feature!
198	;software	i use my mac all the time, i love the software, the way it takes a short time to load things, how easy it is to use and most of all how you don't have to worry about viruses.
199	;installation time	Wasted me at least 8 hours of installation time.
200	;power;storage;abilitiy	It has far exceeded my expectations for power, storage, and abilitiy.
201	;spotlight search;feature	A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.
202	;wireless system;windows 7	My wireless system would not recognize Windows 7 and I couldn't get online to find out why.
203	;quality	I am enjoying it and the quality it provides is great!
204	;battery life;speed	Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed.
205	;os;os	The OS is also very user friendly, even for those that switch from a PC, with a little practice you can take full advantage of this OS!
206	;itunes;program	iTunes is a handy music-management program, and it is essential for anyone with an iPod.
207	;gaming	Mac is not made for gaming.
208	;battery	Well I spilled something on it and they replaced it with this model, which gets hot and the battery doesn't make it through 1 DVD.
209	;apple support;techs	I've had to call Apple support to set up my new printer and have had wonderful experiences with helpful, english speaking (from Vancouver) techs that walked me through the processes to help me.
210	;adding the bluetooth	But Sony said we could send it back and be charged for adding the bluetooth an additional seventy something dollars.
211	;graphic power;adobe creative apps	I need graphic power to run my Adobe Creative apps efficiently.
212	;programs;use	the programs are esay to use and are quick to process this computer works like a charm.
213	;materials	The materials that came with the computer did not include the right # anywhere.
214	;software	It does not even have the software to play a dvd now.
215	;tech support;power supply	Tech support tells me the latter problem is a power supply problem and have offered to fix it if it happens again.
216	;power supply	HOW DOES THE POWER SUPPLY NOT WORK!!!
217	;size	Sells for the same as a netbook without sacrificing size.
218	;warranty	  upon giving them the serial number the first thing I was told, was that it was out of warranty and I could pay to have it repaired.
219	;windows xp sp2	Windows XP SP2 caused many problems on the computer, so I had to remove it.
220	;windows 7 ultimate;bluetooth;fingerprint reader;software	I reloaded with Windows 7 Ultimate, and the Bluetooth and Fingerprint reader (software) would not load.
221	;techs at hp	None of the techs at HP knew what they were doing.
222	;video card	this is my second one and the same problem, bad video card  unreliable overall, this will be my second time returning this laptop back to best buy.
223	;graphics;security	With awesome graphics and assuring security, it's perfect!
224	;audio	Laptop was in new condition and operational, but for the audio problem when 1st sent for repair.
225	;keyboard	I was disappointed when I realized that the keyboard doesn't light up on this model.
226	;runs	It runs perfectly.
227	;set up	The laptop was very easy to set up.
228	;screen	  Sometimes the screen even goes black on this computer.
229	;word processing;internet	I recommend for word processing and internet users.
230	;trackpad	Since I've had this computer I've only used the trackpad because it is so nice and smooth.
231	;battery life;spec	A longer battery life would have been great - but it meets it's spec quite easily.
232	;hd;graphics chip;components;dvd burner	Who couldn't love a DVD burner, 80-gigabyte HD, and fairly new graphics chip? As I soon discovered, though, there is a reason for which similarly-configured Sony and Toshiba machines cost more: they use higher-quality components that are faster, better-configured, and end up lasting a lot longer.
233	;usb ports	Its fast and another thing I like is that it has three USB ports.
234	;software	The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.
235	;system	That system is fixed.
236	;ran	The computer itself was fast, ran smoothly, and had no problems.
237	;price;operation	Like the price and operation.
238	;brand	The brand is tarnished in my heart.
239	;components;ground loop isolator;price range;quality	This is likely due to poor grounding and isolation between the components, and I'm hoping that it can be fixed with a ground loop isolator, but I still expected better product quality for this price range.
240	;warranty	I 'have had it for about a 1 1/2 and yes I have had an issue with it one month out of warranty.
241	;leading edge	Once open, the leading edge is razor sharp.
242	;bloatware	Loaded with bloatware.
243	;maximum sound	Maximum sound isn't nearly as loud as it should be.
244	;windows 7;bootcamp	I loaded windows 7 via Bootcamp and it works flawlessly!
245	;price;action pack games;works	Great Laptop for the price, works well with action pack games.
246	;price	Although the price is higher then Dell laptops, the Macbooks are worth the dough.
247	;performance	I would not recommend this to anyone wanting a notebook expecting the performance of a Desktop it does not meet the expectations.
248	;twin packing;functions	The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.
249	;after sales support;look	So what if the laptops/mobile phones look chic and cool? The after sales support is terrible.
250	;display screen	I hate the display screen and I have done everything I could do the change it.
251	;acer arcade	I also like the acer arcade but these were reallythe only two things I liked about this laptop.
252	;customer support	Have not yet needed any customer support with this yet so to me that is a great thing, which is leaps and bounds ahead of PC in my opinion.
253	;screen;cd drive	I gave it to my daughter because I just hated the screen, hated that it had no cd drive to at least play cd's when I wanted to listen to music and do schoolwork.
254	;runs	It runs very quiet too which is a plus.
255	;design	but it  has a major design flaw.
256	;size	It was heavy,bulky, and hard to carry because of the size.
257	;games;games	The games included are very good games.
258	;life	this computer will last you at least 7 years, thats an amazing life spanned an electronic.
259	;warranty	I had something else go wrong and they said it had to be in good working order to be able to buy the warranty.
260	;pad	Sometimes you really have to tap the pad to get it to worki
261	;value;price	It's super fast and a great value for the price!
262	;system performance;linux based os	Three, the mac book has advantages over pcs' with linux based os there is very 'few problems with system performance when it comes to a mac.
263	;use	A mac is very easy to use and it simply makes sense.
264	;batteries;shipping carton	however, I may have inadvertently thrown out one of the batteries with the shipping carton.
265	;use	It is so much easier to use
266	;program	There is no need to open a program first and the cliick open or import.
267	;virus protection	It is so nice not to worry about that and the extra expense that comes along with the necessary virus protection on PC's.
268	;screen	Three weeks after I bought the netbook, the screen quit working.
269	;processor;osx 16;graphics;hardware;software	The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.
270	;intel core processors;hdmi port	I wanted something that had a new Intel Core processors and HDMI port so that we could hook it up directly to our TV.
271	;internet explorer	The Apple will run Internet Explorer, but at an amazingly slow rate.
272	;staff	With today's company fighting over marketshare, its a shame that ASUS can get away with the inept staff answering thephone.
273	;price premium;features	The price premium is a little much, but when you start looking at the features it is worth the added cash.
274	;product and help aftermarket	I can't say enough of how satisfied I am with their product and help aftermarket.
275	;microsoft word	Microsoft word was not on it andI had to buy it seperately.
276	;usb ports;sd memory card reader;sd memory car expansion	it has 3 usb ports, 1 sd memory card reader and an sd memory car expansion.
277	;lacie 2big external drive;firewire 800 interface;time machine	I connect a LaCie 2Big external drive via the firewire 800 interface, which is useful for Time Machine.
278	;sound	My Toshiba did not have sound on everything, just certain things.
279	;extra features;windows 7 home premium	I am overall very pleased with my toshiba satellite, I like the extra features, I love the windows 7 home premium.
280	;acer screen;usb port;boot	The Aspire wont even boot past the Acer screen with a Droid (I have tried both Motorola and HTC) plugged into the USB port.
281	;battery life	The battery life was shorter than expected.
282	;fires up	It fires up in the morning in less than 30 seconds and I have never had any issues with it freezing.
283	;keyboard	The keyboard is top notch.
284	;software	It drives me crazy when I want to download a game or something of that nature and I can't play it because its not compatable with the software.
285	;online tutorial videos	The online tutorial videos make it super easy to learn if you have always used a PC.
286	;image;soud	The image is great, and the soud is excelent.
287	;windows;boot up;shut down;windows	With a MAC computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.
288	;mac os;use	It was very easy to just pick up and use-- It did not take long to get used to the Mac OS.
289	;cost	It is well worth the money it cost, Very good investment.
290	;windows 7 starter;windows 7 home premium;windows 7 professional	Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap;
291	;specifications	This computer had exactly the specifications I needed.
292	;power cords	My kids (and dogs) destroyed two power cords by pulling on them.
293	;multi-touch features	I had upgraded my old MacBook to Lion, so I kind of knew what I was getting, but hadn't been able to enjoy some of the awesome new multi-touch features.
294	;screen;clicking buttons	The screen is a little glary, and I hated the clicking buttons, but I got used to them.
295	;battery life	Not to mention, the battery life is absolutely amazing.
296	;windows	Windows also shuts the computer down for no reason without warning.
297	;wired lan	not using wired lan not sure what thats about.
298	;hard reboot	The macbook rarely requires a hard reboot.
299	;hardware	Now for the hardware problems.
300	;hard drive	Anyways I bought this two months ago and when I first brought it home it kept giving me a message about a vibration in the hard drive and it is putting it temporaly in save zone.
301	;battery life	It's fast and has excellent battery life.
302	;apple care	Apple care included.
303	;font;features	Features like the font are very block-like and old school.
304	;programs;run	It is loaded with programs that is of no good for the average user, that makes it run way to slow.
305	;plastic pieces	I feel that it was poorly put together, because once in a while different plastic pieces would come off of it.
306	;2gb ram stick	Finally, I should note that I took the 2GB RAM stick from my old EeePC and installed it before I even powered on for the first time.
307	;windows	Windows is also rather unsteady on its feet and is susceptible to many bugs.
308	;microsoft word for mac	After sending out documents via email and having recipients tell me they could not open the documents or they came through as gibberish, I broke down and spent another $100 to get Microsoft Word for Mac.
309	;warranty company	DO NOT BUY GATEWAY COMPUTERS THEY ARE JUNK AND THE WARRANTY COMPANY IS HORRIBLE.
310	;cusromer service center	then on top of it all their cusromer service center is in the middle east.
311	;size;weight	The only bad part is the size/weight.
312	;battery	The little battery that it did have would only last about an hour while just having it on the desktop.
313	;aluminum body	I liked the aluminum body.
314	;watching movies;playing	Its good for playing my apps on Facebook or watching movies.
315	;build quality;performance	From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple.
316	;dock;program;program	I love the dock where I can simply drop a file ontop of a particular program, and the program will simply open that file.
317	;working	pretty much everything else about the computer is good it just stops working out of no were.
318	;costing	It was truly a great computer costing less than one thousand bucks before tax.
319	;price;i7	Waiting for the i7 was well worth it, great value for the price.
320	;monitor	Now,,,,,my monitor has been acting up for about 2 months.
321	;extended warranty	Also, the extended warranty was a problem.
322	;boots up;runs	Boots up fast and runs great!
323	;screen	Lightweight and the screen is beautiful!
324	;driver	I needed a driver for my HP and they would not help me with out me paying over $50 for it.
325	;tech support	Call tech support, standard email the form and fax it back in to us.
326	;work	They sent it back with a huge crack in it and it still didn't work.
327	;hard drive	 A coupla months later, they change my hard drive.
328	;twin packing;functions	The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.
329	;warranty	They say sorry out of warranty.
330	;performance;price	I bought this laptop because of the performance to price ratio.
331	;bios	PC never worked right even after BIOS fixed.
332	;design;tech issues	After having two PC laptops die with in the past 3 years, I was led to the Apple display at Best Buy by the sleek design and promise of less tech issues.
333	;size;space	The size is perfect and I do not recomend anything bigger except for any person who can exceed the limited space it gives you.
334	;service	The service I received from Toshiba went above and beyond the call of duty.
335	;memory;speed;priced	Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed, etc.
336	;internet speed	I would recommend it just because of the internet speed probably because thats the only thing i really care about.
337	;programs;garageband;photo booth;iphoto;imovie;video-editing;movie-making;photo management;music;pages;numbers;keynote;school or office use	There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.
338	;screen;colors	The screen shows great colors.
339	;value;price;value	Reason why? It's because when you buy it, you know first thing that you will not lose any value for that laptop, the price will stay the same for the next year, and even if Apple does decides to change mode, your laptop value will only drop 10-20%, unlike PC laptops which drop more than 80%.
340	;web cam;burn cd's	I have no idea how to burn cd's or to use the web cam, just for starters.
341	;17 inch screen	The 17 inch screen is very large, but the computer is very light.
342	;support	  My opinion of Sony has been dropping as fast as the stock market, given their horrible support, but this machine just caused another plunge.
343	;bluetooth;drivers/applications dvd;launch manager	For the Bluetooth to work properly, you must install the Launch Manager on the Drivers/Applications DVD, or it will not show after the reload.
344	;glass screen	I also liked the glass screen.
345	;switchable graphic card;gaming	The switchable graphic card is pretty sweet when you want gaming on the laptop.
346	;service	It's not a wear-and-tear issue, not due to user carelessness and most importantly, they CAN'T guarantee the problem will be solved if it is sent for service and I have to accept the outcome.
347	;battery life	The battery life has not decreased since I bought it, so i'm thrilled with that.
348	;technical support	When I called Toshiba, they would not do anything and even tried to charge me $35 for the phone call, even though they didn't offer any technical support.
